# Motion State
# Angle Units : degrees
# Time        	centreOfRotation	centreOfMass	rotation	velocity	omega
2.3           	(0.000000e+00 4.132080e-08 0.000000e+00)	(0.000000e+00 4.132080e-08 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 1.175000e-08 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
2.4           	(0.000000e+00 4.226907e-08 0.000000e+00)	(0.000000e+00 4.226907e-08 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 7.039912e-09 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
2.5           	(0.000000e+00 4.272878e-08 0.000000e+00)	(0.000000e+00 4.272878e-08 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 2.023853e-09 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
2.6           	(0.000000e+00 4.267384e-08 0.000000e+00)	(0.000000e+00 4.267384e-08 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 -3.204613e-09 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
2.7           	(0.000000e+00 4.208786e-08 0.000000e+00)	(0.000000e+00 4.208786e-08 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 -8.547933e-09 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
2.8           	(0.000000e+00 4.096425e-08 0.000000e+00)	(0.000000e+00 4.096425e-08 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 -1.390940e-08 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
2.9           	(0.000000e+00 3.930598e-08 0.000000e+00)	(0.000000e+00 3.930598e-08 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 -1.919518e-08 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
3             	(0.000000e+00 3.712522e-08 0.000000e+00)	(0.000000e+00 3.712522e-08 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 -2.431521e-08 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
3.1           	(0.000000e+00 3.444293e-08 0.000000e+00)	(0.000000e+00 3.444293e-08 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 -2.917966e-08 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
3.2           	(0.000000e+00 3.128929e-08 0.000000e+00)	(0.000000e+00 3.128929e-08 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 -3.370984e-08 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
